Titre du bulletin (ANSSI),Lien du bulletin (ANSSI),Type de bulletin,Identifiant CVE,Score CVSS,Base severity,Score Epss,Type CWE,Description CWE,Editeur,Produit,Versions affectées 
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41078,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41081,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41087,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.17']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41089,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41095,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42070,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.13']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42093,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42096,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42105,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42119,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42120,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42124,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42145,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42161,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42223,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42224,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42230,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.9']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41007,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.19']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41020,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['2.6.13']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41022,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['6.10']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41034,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['2.6.30']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41035,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.10']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41046,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.0']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41049,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.6']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41055,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.8']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41065,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41068,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41077,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42101,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.33']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42102,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.8']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42104,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42106,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.10']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42115,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42121,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42127,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42131,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42137,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.2']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42148,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.3']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42152,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42153,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.20']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42154,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['3.14']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42157,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.11']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42229,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42232,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42236,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42244,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.3']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42247,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.6']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42110,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['3.9']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41073,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41096,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.17']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42082,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.18']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2023-52887,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['5.4']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-36244,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.9']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-38632,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.9']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41027,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.7']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41047,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.17']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41092,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.8']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41093,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-41097,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.36']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42068,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42076,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.4']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42077,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.6']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42080,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42084,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['3.9']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42085,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.1']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42086,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.19']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42087,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42089,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['3.18']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42090,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.10']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42092,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.19']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42094,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42095,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['5.14']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42097,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42098,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42109,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.5']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42130,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42140,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.1']
Multiples vulnérabilités dans le noyau Linux de Debian LTS (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0002/,avis,CVE-2024-42225,Non disponible,Non disponible,0.000500000,Non disponible,Non disponible,Linux,Linux,[]
